Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
2013-10-01,123.65499,124.30466,124.75166,122.56349
2013-10-02,125.455,123.65499,125.7585,123.63383
2013-10-03,108.58483,125.455,125.66566,83.32833
2013-10-04,118.67466,108.58483,118.675,107.05816
2013-10-05,121.33866,118.67466,121.93633,118.00566
2013-10-06,120.65533,121.33866,121.85216,120.5545
2013-10-07,121.795,120.65533,121.99166,120.43199
2013-10-08,123.033,121.795,123.64016,121.35066
2013-10-09,124.049,123.033,124.7835,122.59266
2013-10-10,125.96116,124.049,128.01683,123.81966
2013-10-11,125.27966,125.96116,126.43666,124.11383
2013-10-12,125.9275,125.27966,126.0365,123.12966
2013-10-13,126.38333,125.9275,126.8965,125.2765
2013-10-14,135.24199,126.38333,135.24199,126.255
2013-10-15,133.20333,135.24199,135.69216,130.39275
2013-10-16,142.76333,133.20333,143.60483,132.94933
2013-10-17,137.92333,142.76333,145.601,136.01466
2013-10-18,142.95166,137.92333,144.311,137.53966
2013-10-19,152.55183,142.95166,152.6685,142.47949
2013-10-20,160.33883,152.55183,167.07999,152.5135
2013-10-21,164.31499,160.33883,164.3315,159.89666
2013-10-22,177.63333,164.31499,177.71166,163.87149
2013-10-23,188.29716,177.63333,188.82383,177.11399
2013-10-24,200.70166,188.29716,202.34333,185.81683
2013-10-25,180.355,200.70166,201.33316,158.72216
2013-10-26,175.03166,180.355,184.09033,162.56466
2013-10-27,177.6965,175.03166,180.3185,174.74483
2013-10-28,187.15983,177.6965,188.3985,174.9035
2013-10-29,192.75666,187.15983,192.83983,185.88116
2013-10-30,197.4,192.75666,198.41366,191.62716
2013-10-31,196.02499,197.4,198.79333,192.83366
2013-11-01,198.04883,196.02499,198.57,195.02916
2013-11-02,198.93233,198.04883,199.09783,195.49
2013-11-03,200.543,198.93233,201.24116,198.71016
2013-11-04,210.3075,200.543,211.17133,200.296
2013-11-05,225.02,210.3075,227.02833,209.23333
2013-11-06,248.25333,225.02,248.32116,221.84833
2013-11-07,262.32666,248.25333,262.67166,242.95166
2013-11-08,294.48699,262.32666,294.48749,260.45166
2013-11-09,331.10325,294.48699,343.67975,293.48749
2013-11-10,285.8875,331.10325,355.2275,277.25275
2013-11-11,304.97974,285.8875,323.27249,260.70325
2013-11-12,338.137,304.97974,339.795,303.6505
2013-11-13,357.48,338.137,358.94999,336.30775
2013-11-14,402.954,357.48,409.51,350.20999
2013-11-15,409.10375,402.954,415.93975,383.5775
2013-11-16,420.21649,409.10375,427.90425,386.565
2013-11-17,437.29725,420.21649,437.9695,415.1975
2013-11-18,510.6025,437.29725,512.16999,436.13324
2013-11-19,693.65,510.6025,781.82624,491.585
2013-11-20,531.54249,693.65,716.825,394.90624
2013-11-21,574.71599,531.54249,580.11375,428.9815
2013-11-22,681.33,574.71599,705.49725,570.78025
2013-11-23,774.18,681.33,775.6525,651.89599
2013-11-24,746.19374,774.18,823.41525,691.6925
2013-11-25,768.8475,746.19374,787.2475,707.75149
2013-11-26,789.36475,768.8475,793.71424,739.8375
2013-11-27,893.1815,789.36475,904.585,787.19
2013-11-28,934.355,893.1815,965.2525,870.38525
2013-11-29,1068.363,934.355,1084.9466,912.931
2013-11-30,1154.92593,1068.363,1157.49894,1028.22683
2013-12-01,1099.51926,1154.92593,1156.02831,1099.2065
2013-12-02,1019.78966,1099.51926,1099.70754,783.68616
2013-12-03,1028.845,1019.78966,1049.67916,929.95483
2013-12-04,1071.2848,1028.845,1092.83331,1021.177
2013-12-05,1139.33083,1071.2848,1151.29749,1066.87277
2013-12-06,1004.61633,1139.33083,1144.36916,870.3838
2013-12-07,759.43041,1004.61633,1038.55,656.87499
2013-12-08,689.81,759.43041,826.32766,558.08333
2013-12-09,841.83966,689.81,845.85092,682.71342
2013-12-10,916.77599,841.83966,948.68183,809.91748
2013-12-11,967.42866,916.77599,1004.93666,900.68016
2013-12-12,866.29003,967.42866,975.62383,832.22683
2013-12-13,911.23204,866.29003,919.30033,843.4055
2013-12-14,889.81946,911.23204,933.17016,859.44999
2013-12-15,848.9975,889.81946,897.30915,848.25583
2013-12-16,868.95316,848.9975,886.23583,819.43828
2013-12-17,653.80483,868.95316,876.21516,636.15056
2013-12-18,654.06266,653.80483,757.02366,647.62209
2013-12-19,553.69166,654.06266,654.06266,422.497
2013-12-20,693.05883,553.69166,710.3255,545.53966
2013-12-21,649.38965,693.05883,733.23666,598.06131
2013-12-22,595.95883,649.38965,651.8435,580.72816
2013-12-23,647.68316,595.95883,671.59166,594.36595
2013-12-24,671.58116,647.68316,685.3675,632.5431
2013-12-25,659.84333,671.58116,675.614,645.78333
2013-12-26,702.00083,659.84333,720.22498,651.53
2013-12-27,758.01016,702.00083,780.93666,698.07
2013-12-28,734.01166,758.01016,772.90666,723.98666
2013-12-29,717.92623,734.01166,753.83333,705.1025
2013-12-30,752.82022,717.92623,759.6362,713.751
2013-12-31,744.17249,752.82022,763.83,743.7
2014-01-01,768.40783,744.17249,772.959,733.19433
2014-01-02,769.09849,768.40783,774.26333,750.52516
2014-01-03,804.02719,769.09849,826.34166,768.15367
2014-01-04,813.31748,804.02719,839.85833,798.11833
2014-01-05,871.11583,813.31748,873.98,808.71666
2014-01-06,970.65083,871.11583,972.00354,861.25831
2014-01-07,962.46447,970.65083,1023.16666,914.76666
2014-01-08,855.75933,962.46447,970.22516,788.70166
2014-01-09,860.84166,855.75933,886.02916,822.32296
2014-01-10,847.5325,860.84166,880.64166,814.17054
2014-01-11,892.26115,847.5325,902.035,837.57458
2014-01-12,916.69666,892.26115,940.495,876.57666
2014-01-13,873.27168,916.69666,920.71733,857.73833
2014-01-14,863.69888,873.27168,873.27168,821.00333
2014-01-15,853.25666,863.69888,871.11385,839.125
2014-01-16,874.07416,853.25666,888.88519,853.25666
2014-01-17,842.19173,874.07416,879.62999,841.27916
2014-01-18,834.86666,842.19173,854.32827,810.22333
2014-01-19,838.42916,834.86666,850.56666,834.08333
